Cde_Opération;Opération;Cde_Dépense;Dépense;Cde_Pays;Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OTE;Total des dépenses des administrations publiques (*);GF0604;06.4 - Éclairage public;FRA;France;0,569;0,575;0,613;0,568;0,701;0,830;0,896;0,968;1,009;1,084;1,091;1,205;1,259;1,298;1,315;1,365;1,448;1,388;1,421;1,429;1,404;1,360;1,419;1,498;1,538;1,473;1,499;1,617;1,789;1,819
OTE;Total des dépenses des administrations publiques (*);GF0605;06.5 - R-D dans le domaine du logement et des équipements collectifs;FRA;France;0,007;0,007;0,003;0,004;0,003;0,003;0,003;0,007;0,006;0,008;0,006;0,004;0,000;0,000;0,030;0,000;0,002;0,004;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
OTE;Total des dépenses des administrations publiques (*);GF0606;06.6 - Logement et équipements collectifs n.c.a.;FRA;France;0,357;0,355;0,338;0,359;0,357;0,329;0,295;0,307;0,319;0,220;0,230;0,280;0,249;0,242;0,240;0,234;0,250;0,237;0,234;0,216;0,172;0,398;0,378;0,303;0,415;0,425;0,773;0,743;1,144;1,817
OTE;Total des dépenses des administrations publiques (*);GF07;07 - Santé;FRA;France;83,748;87,639;89,024;92,442;95,268;101,712;107,105;115,040;122,524;129,308;137,428;142,088;147,175;150,665;157,398;162,526;167,496;170,537;174,363;179,572;180,941;184,631;190,006;193,539;198,147;208,024;234,725;240,773;249,676;261,156
OTE;Total des dépenses des administrations publiques (*);GF0701;07.1 - Produits, appareils et matériels médicaux;FRA;France;10,515;11,385;11,711;12,954;14,134;15,735;17,545;18,478;19,892;21,152;22,404;22,684;24,095;24,573;29,399;30,280;30,446;29,803;30,739;31,859;32,026;32,721;33,584;34,052;34,641;34,561;37,213;39,413;41,638;43,715
OTE;Total des dépenses des administrations publiques (*);GF0702;07.2 - Services ambulatoires;FRA;France;28,603;29,732;30,150;31,178;31,550;33,752;35,472;37,853;41,215;44,134;46,928;50,081;52,415;54,325;53,056;55,474;57,283;59,424;61,233;62,927;64,520;66,338;68,206;70,127;71,891;70,804;82,567;83,774;87,987;91,789
OTE;Total des dépenses des administrations publiques (*);GF0703;07.3 - Services hospitaliers;FRA;France;40,001;41,650;42,223;43,182;44,062;46,266;48,034;50,941;53,646;55,873;59,046;60,636;61,768;63,106;65,408;66,536;69,777;71,488;72,107;74,410;74,211;75,303;76,948;77,973;79,825;83,706;90,964;96,149;103,483;109,338
OTE;Total des dépenses des administrations publiques (*);GF0704;07.4 - Services de santé publique;FRA;France;1,218;1,375;1,375;1,459;1,586;1,812;1,700;3,088;2,793;2,949;3,575;3,266;3,007;2,656;3,246;4,305;4,157;4,210;4,375;4,416;4,231;4,345;5,006;5,147;5,436;12,310;16,586;13,970;8,623;7,958
OTE;Total des dépenses des administrations publiques (*);GF0705;07.5 - R-D dans le domaine de la santé;FRA;France;2,737;2,798;2,852;2,931;3,163;3,322;3,482;3,746;3,981;4,168;4,394;4,323;4,765;4,944;5,122;4,946;4,865;4,805;4,973;4,948;4,952;4,985;5,110;5,169;5,304;5,304;5,785;6,046;6,460;6,708
OTE;Total des dépenses des administrations publiques (*);GF0706;07.6 - Santé n.c.a.;FRA;France;0,677;0,700;0,714;0,738;0,772;0,825;0,872;0,935;0,997;1,032;1,082;1,098;1,126;1,062;1,167;0,985;0,969;0,808;0,936;1,012;1,001;0,939;1,153;1,071;1,050;1,339;1,609;1,421;1,487;1,648
