Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Y_LT15;DEU;Allemagne;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;14,445;14,185;13,912;13,629;13,371;13,180;13,034;12,923;12,836;12,832;12,705;12,609;12,577;12,635;12,764;12,892;13,001;13,102;13,199;13,317;13,472;13,410;13,407
Y_LT15;DEU;Allemagne;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,937;15,626;15,309;14,986;14,688;14,468;14,297;14,160;14,045;14,178;14,002;13,861;13,785;13,787;13,882;14,006;14,108;14,210;14,316;14,445;14,631;14,530;14,479
Y15T64;DEU;Allemagne;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;70,109;69,844;69,501;69,115;68,746;68,470;68,267;68,049;68,002;67,820;67,898;67,891;67,784;67,683;67,497;67,177;66,889;66,587;66,248;65,905;65,615;65,530;65,399
Y15T64;DEU;Allemagne;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,099;64,986;64,780;64,520;64,266;64,106;64,021;63,911;63,951;63,962;64,083;64,121;64,040;63,877;63,655;63,383;63,134;62,871;62,575;62,274;62,079;61,936;61,709
Y15T64;DEU;Allemagne;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,548;67,361;67,089;66,768;66,458;66,243;66,101;65,940;65,938;65,845;65,947;65,966;65,875;65,749;65,549;65,254;64,987;64,704;64,387;64,065;63,822;63,707;63,531
Y15T64;ESP;Espagne;PS;Personnes;_T;Total;De 15 à 64 ans;28401513,000;28966656,000;29501722,000;30120189,000;30553422,000;31188438,000;31647959,000;31756902,000;31705439,000;31644057,000;31499118,000;31188720,000;30913280,000;30780706,000;30733068,000;30727303,000;30840972,000;31111726,000;31327221,000;31320534,000;31627745,000;32033167,000;32397281,000
Y_GE65;ESP;Espagne;PS;Personnes;_T;Total;65 ans et plus;7026593,000;7119244,000;7154260,000;7230328,000;7362321,000;7451435,000;7577395,000;7727114,000;7892790,000;8052204,000;8174391,000;8332988,000;8487781,000;8599852,000;8719919,000;8840365,000;8972650,000;9125804,000;9243530,000;9396344,000;9585758,000;9808031,000;10044937,000
Y15T64;ESP;Espagne;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;14287599,000;14598089,000;14890698,000;15248405,000;15476427,000;15817167,000;16067774,000;16107330,000;16060244,000;16008762,000;15905620,000;15722312,000;15566455,000;15488709,000;15454603,000;15439694,000;15486310,000;15621426,000;15728546,000;15731761,000;15875122,000;16076610,000;16273909,000
Y_GE65;ESP;Espagne;PS;Personnes;M;Sexe masculin;65 ans et plus;2960775,000;3001138,000;3015259,000;3049867,000;3112155,000;3154365,000;3214073,000;3285475,000;3364112,000;3439265,000;3498769,000;3574425,000;3647967,000;3702295,000;3759232,000;3817681,000;3881154,000;3952736,000;4007280,000;4078552,000;4166336,000;4271192,000;4379448,000
Y_GE65;ESP;Espagne;PS;Personnes;F;Sexe féminin;65 ans et plus;4065824,000;4118108,000;4139001,000;4180461,000;4250165,000;4297065,000;4363318,000;4441642,000;4528679,000;4612935,000;4675622,000;4758563,000;4839814,000;4897557,000;4960687,000;5022684,000;5091496,000;5173068,000;5236250,000;5317792,000;5419422,000;5536839,000;5665489,000
