Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
D2121;Droits sur les importations;AUT;Autriche;EUR;Euro;-1,47;-1,30;3,94;1,43;0,07;-7,66;-20,65;0,07;0,09;0,08;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214L;Autres impôts sur les produits n.c.a.;AUT;Autriche;EUR;Euro;3,74;5,67;6,13;6,88;6,89;10,60;6,98;6,06;6,39;7,17;7,71;7,10;4,44;13,26;7,51;6,99;7,07;7,12;7,82;8,61;12,88;8,06;143,63
D59F;Autres impôts courants n.c.a.;AUT;Autriche;EUR;Euro;1765,49;1817,65;1906,49;1977,56;2043,35;2147,92;2240,89;2293,36;2365,11;2393,16;2485,07;2564,84;2892,92;2917,88;2992,05;3189,37;3238,51;3316,84;3288,90;3371,97;3495,76;3552,64;3444,91
D2122;Impôts sur les importations à l'exclusion de la TVA et des droits sur les importations;AUT;Autriche;EUR;Euro;22,92;22,54;0,90;0,26;0,12;0,06;0,03;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D613CS;Cotisations sociales effectives obligatoires à la charge des travailleurs indépendants;AUT;Autriche;EUR;Euro;1562,12;1678,36;2345,31;2395,03;2548,60;2623,11;2680,43;2812,69;2656,05;2938,55;3057,22;3224,61;3391,99;3574,90;3678,47;3895,87;4081,34;4319,40;4132,24;4631,61;4681,00;4864,17;5144,83
D61;Cotisations sociales nettes;AUT;Autriche;EUR;Euro;34955,57;35774,42;37103,47;38080,26;39570,31;41177,92;42916,93;43395,83;44208,82;46107,74;47635,35;49510,96;50986,02;52624,91;54447,28;56490,14;59217,00;61608,56;61538,75;64753,90;68336,97;73268,82;78975,07
D212;Impôts et droits sur les importations, à l'exclusion de la TVA;AUT;Autriche;EUR;Euro;21,46;21,24;4,83;1,68;0,19;-7,60;-20,62;0,08;0,10;0,08;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214G;Taxes sur les primes d'assurance;AUT;Autriche;EUR;Euro;874,34;939,49;1008,05;1007,87;1031,09;1047,12;1078,34;1089,99;1073,51;1128,76;1109,90;1113,18;1160,98;1183,37;1208,38;1190,35;1242,21;1281,77;1307,43;1356,95;1441,73;1549,72;1649,24
D613C;Cotisations sociales effectives obligatoires à la charge des ménages;AUT;Autriche;EUR;Euro;17083,20;17541,92;18374,66;19021,51;19847,28;20652,86;21632,23;22019,93;22342,70;23392,71;24219,52;25318,82;26095,29;27001,42;27987,26;29080,86;30428,95;31743,24;31845,73;33644,53;35358,70;37932,90;40931,27
D613;Cotisations sociales effectives à la charge des ménages;AUT;Autriche;EUR;Euro;17296,74;17752,10;18601,81;19268,47;20120,22;20909,27;21902,00;22319,14;22680,98;23734,53;24528,33;25616,88;26405,75;27321,55;28307,19;29397,97;30750,00;32078,84;32189,62;34002,67;35731,23;38298,90;41323,50
