Année;Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;Montant
2003;D611C;Cotisations sociales effectives obligatoires à la charge des employeurs;AUT;Autriche;EUR;Euro;15386,99
2003;D59;Autres impôts courants;AUT;Autriche;EUR;Euro;1817,65
2003;D29C;Impôts sur la masse salariale ou les effectifs employés;AUT;Autriche;EUR;Euro;5616,93
2003;D61N;Cotisations sociales effectives des employeurs et des ménages;AUT;Autriche;EUR;Euro;33139,09
2003;D2_D5_D91_D611_D613;Total des impôts et des cotisations sociales;AUT;Autriche;EUR;Euro;98655,74
2003;D91A;Impôts sur les transferts en capital;AUT;Autriche;EUR;Euro;157,01
2003;ODD;Charges fiscales correspondant au produit total des impôts et cotisations sociales obligatoires après déduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;98445,56
2003;D214;Impôts sur les produits à l'exclusion de TVA et des impôts sur les importations et les exportations;AUT;Autriche;EUR;Euro;8732,35
2003;D51B;Impôts sur le revenu ou les bénéfices des sociétés non compris les gains de détention;AUT;Autriche;EUR;Euro;5200,24
2003;ODA;Total des recettes fiscales;AUT;Autriche;EUR;Euro;65516,65
2003;D214C;Impôts sur les opérations financières et les opérations en capital;AUT;Autriche;EUR;Euro;528,42
2003;D51;Impôts sur le revenu;AUT;Autriche;EUR;Euro;29421,75
2003;D214A;Droits d'accise et impôts de consommation;AUT;Autriche;EUR;Euro;6236,45
2003;D211;Taxes du type TVA;AUT;Autriche;EUR;Euro;17870,87
2003;D611;Cotisations sociales effectives à la charge des employeurs;AUT;Autriche;EUR;Euro;15386,99
2003;D212;Impôts et droits sur les importations, à l'exclusion de la TVA;AUT;Autriche;EUR;Euro;21,24
2003;D214G;Taxes sur les primes d'assurance;AUT;Autriche;EUR;Euro;939,49
2003;D613C;Cotisations sociales effectives obligatoires à la charge des ménages;AUT;Autriche;EUR;Euro;17541,92
2003;D613;Cotisations sociales effectives à la charge des ménages;AUT;Autriche;EUR;Euro;17752,10
2003;D214H;Autres taxes sur des services déterminés;AUT;Autriche;EUR;Euro;334,46
2003;D613CS;Cotisations sociales effectives obligatoires à la charge des travailleurs indépendants;AUT;Autriche;EUR;Euro;1678,36
2003;D61;Cotisations sociales nettes;AUT;Autriche;EUR;Euro;35774,42
2003;D59F;Autres impôts courants n.c.a.;AUT;Autriche;EUR;Euro;1817,65
2003;D2122;Impôts sur les importations à l'exclusion de la TVA et des droits sur les importations;AUT;Autriche;EUR;Euro;22,54
2003;D2121;Droits sur les importations;AUT;Autriche;EUR;Euro;-1,30
2003;D214L;Autres impôts sur les produits n.c.a.;AUT;Autriche;EUR;Euro;5,67
2003;D2;Impôts sur la production et les importations;AUT;Autriche;EUR;Euro;34120,24
2003;D613CE;Cotisations sociales effectives obligatoires à la charge des salariés;AUT;Autriche;EUR;Euro;13421,23
2003;D51A;Impôts sur le revenu des personnes physiques ou des ménages non compris les gains de détention;AUT;Autriche;EUR;Euro;23579,49
2003;D29;Autres impôts sur la production;AUT;Autriche;EUR;Euro;7495,78
2003;D51O;Impôts sur le revenu des sociétés y compris les gains de détention;AUT;Autriche;EUR;Euro;5200,24
2003;D612;Cotisations sociales imputées à la charge des employeurs;AUT;Autriche;EUR;Euro;2635,33
2003;D613CN;Cotisations sociales effectives obligatoires à la charge des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;2442,33
2003;D613V;Cotisations sociales effectives volontaires des ménages;AUT;Autriche;EUR;Euro;210,18
2003;ODC;Produit total des impôts et cotisations sociales nettes (y compris cotisations sociales imputées), après déduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;101291,07
2003;D29H;Autres impôts sur la production n.c.a.;AUT;Autriche;EUR;Euro;1268,66
2003;D51E;Autres impôts sur le revenu n.c.a.;AUT;Autriche;EUR;Euro;642,02
2003;D51M;Impôts sur le revenu des personnes physiques ou des ménages y compris les gains de détention;AUT;Autriche;EUR;Euro;23579,49
2003;D5;Impôts courants sur le revenu, le patrimoine, etc.;AUT;Autriche;EUR;Euro;31239,40
2003;D2122E;Impôts sur des services déterminés;AUT;Autriche;EUR;Euro;22,54
2003;D91;Impôts en capital;AUT;Autriche;EUR;Euro;157,01
2003;D29G;Sous-compensation de la TVA (régime forfaitaire);AUT;Autriche;EUR;Euro;32,72
2003;D214D;Taxes à l'immatriculation des véhicules;AUT;Autriche;EUR;Euro;144,46
2003;D29A;Impôts sur les terrains, bâtiments et autres constructions;AUT;Autriche;EUR;Euro;577,46
2003;D21;Impôts sur les produits;AUT;Autriche;EUR;Euro;26624,46
2004;D2122C;Droits d'accise;AUT;Autriche;EUR;Euro;0,00
2004;D51C;Impôts sur les gains de détention;AUT;Autriche;EUR;Euro;0,00
2004;D6141;Suppléments de cotisations de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2004;D995E;Cotisations sociales effectives à la charge des employeurs dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D59B;Impôts de capitation;AUT;Autriche;EUR;Euro;0,00
2004;D29E;Autorisations d'exercer des activités commerciales ou professionnelles;AUT;Autriche;EUR;Euro;0,00
2004;D214J;Bénéfices des monopoles fiscaux;AUT;Autriche;EUR;Euro;0,00
2004;D59D;Paiements effectués par les ménages en vue de l’obtention de licences;AUT;Autriche;EUR;Euro;0,00
2004;D995A;Impôts sur les produits dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D614;Suppléments de cotisations sociales à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2004;D91B;Prélèvements sur le capital;AUT;Autriche;EUR;Euro;0,00
2004;D214I;Impôts généraux sur les ventes ou le chiffre d'affaires;AUT;Autriche;EUR;Euro;0,00
2004;D29B;Impôts sur l'utilisation d'actifs fixes;AUT;Autriche;EUR;Euro;0,00
2004;D2122A;Prélèvements sur les produits agricoles importés;AUT;Autriche;EUR;Euro;0,00
2004;D995C;Impôts sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D2122B;Montants compensatoires monétaires prélevés à l'importation;AUT;Autriche;EUR;Euro;0,00
2004;D214B;Droits de timbre;AUT;Autriche;EUR;Euro;0,00
2004;D29F;Impôts sur les émissions polluantes;AUT;Autriche;EUR;Euro;0,00
2004;D214K;Droits sur les exportations et montants compensatoires monétaires prélevés à l'exportation;AUT;Autriche;EUR;Euro;0,00
2004;D995B;Autres impôts sur la production dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D611V;Cotisations sociales effectives volontaires des employeurs;AUT;Autriche;EUR;Euro;0,00
2004;D6142;Suppléments de cotisations autres que de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2004;D51C3;Autres impôts sur les gains de détention n.c.a.;AUT;Autriche;EUR;Euro;0,00
2004;D995FN;Cotisations sociales effectives à la charge des personnes n'occupant pas d'emploi dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D29D;Impôts sur les transactions internationales;AUT;Autriche;EUR;Euro;0,00
2004;D51C2;Impôts sur les gains de détention des sociétés;AUT;Autriche;EUR;Euro;0,00
2004;D91C;Autres impôts en capital n.c.a.;AUT;Autriche;EUR;Euro;0,00
2004;D59C;Impôts sur la dépense;AUT;Autriche;EUR;Euro;0,00
2004;D995FE;Cotisations sociales effectives à la charge des salariés dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D2122D;Impôts généraux sur les ventes;AUT;Autriche;EUR;Euro;0,00
2004;D61SC;Rémunération du service des régimes d'assurance sociale (-);AUT;Autriche;EUR;Euro;0,00
2004;D59E;Impôts sur les transactions internationales;AUT;Autriche;EUR;Euro;0,00
2004;D51C1;Impôts sur les gains de détention des personnes physiques ou des ménages;AUT;Autriche;EUR;Euro;0,00
2004;D995F;Cotisations sociales effectives à la charge des ménages dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D995FS;Cotisations sociales effectives à la charge des travailleurs indépendants dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
