Année;Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;Valeur_Mesurée
2013;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,437
2014;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2866662,000
2014;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;903474,000
2014;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2878063,000
2014;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;669128,000
2014;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1572602,000
2014;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5744725,000
2014;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,031
2014;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;18,418
2014;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,701
2014;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,300
2014;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;13,617
2014;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,016
2014;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;68,953
2014;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,683
2014;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,281
2015;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2884321,000
2015;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;912807,000
2015;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2909402,000
2015;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;682062,000
2015;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1594869,000
2015;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5793723,000
2015;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,150
2015;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;18,505
2015;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,767
2015;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,273
2015;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;13,612
2015;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;14,960
2015;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;68,890
2015;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,621
2015;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,223
2016;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2910686,000
2016;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;922673,000
2016;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2955648,000
2016;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;694347,000
2016;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1617020,000
2016;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5866334,000
2016;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,167
2016;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;18,506
2016;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,768
2016;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,355
