Cde_Pays;Pays;Cde_Dépense;Dépense;Année;Montant
HRV;Croatie;GF06;Logement et développement collectif;2004;0,652520
HRV;Croatie;GF0404;Industries extractives et manufacturières, construction;2004;0,090290
HRV;Croatie;GF0303;Tribunaux;2004;0,189700
HRV;Croatie;GF0503;Lutte contre la pollution;2004;0,013370
HRV;Croatie;GF0205;Défense n.c.a.;2004;0,019990
HRV;Croatie;GF03;Ordre et sécurité publics;2004;0,783960
HRV;Croatie;GF0701;Produits, appareils et matériels médicaux;2004;0,363350
HRV;Croatie;GF0106;Services généraux des administrations publiques n.c.a.;2004;0,016260
HRV;Croatie;GF1009;Protection sociale n.c.a.;2004;0,031230
HRV;Croatie;GF1002;Vieillesse;2004;2,722920
HRV;Croatie;GF1003;Survivants;2004;0,479990
HRV;Croatie;GF0102;Aide économique extérieure;2004;0,000080
HRV;Croatie;GF0506;Protection de l'environnement n.c.a.;2004;0,041070
HRV;Croatie;GF0902;Enseignement secondaire;2004;0,380920
HRV;Croatie;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2004;0,034050
HRV;Croatie;GF0204;R et D concernant la défense;2005;0,000000
HRV;Croatie;GF0108;Transferts de caractère général entre administrations publiques;2005;0,000000
HRV;Croatie;GF0703;Services hospitaliers;2005;1,176780
HRV;Croatie;GF0505;RetD dans le domaine de la protection de l'environnement;2005;0,006440
HRV;Croatie;GF0201;Défense militaire;2005;0,453310
HRV;Croatie;GF0107;Opérations concernant la dette publique;2005;0,699650
HRV;Croatie;GF0705;RetD dans le domaine de la santé;2005;0,031190
HRV;Croatie;GF02;Défense nationale;2005;0,474700
HRV;Croatie;GF0403;Combustibles et énergie;2005;0,011400
HRV;Croatie;GF1005;Chômage;2005;0,183030
HRV;Croatie;GF0405;Transports;2005;1,780380
HRV;Croatie;GF0304;Administration pénitentiaire;2005;0,051480
HRV;Croatie;GF0103;Services généraux;2005;0,129770
HRV;Croatie;GF0604;Éclairage public;2005;0,040450
HRV;Croatie;GF0306;Ordre et sécurité publics n.c.a.;2005;0,028430
HRV;Croatie;GF0903;Enseignement postsecondaire non supérieur;2005;0,000330
HRV;Croatie;GF09;Enseignement;2005;2,006710
HRV;Croatie;GF1006;Logement;2005;0,032640
HRV;Croatie;GF0605;RetD dans le domaine du logement et des équipements collectifs;2005;0,017770
HRV;Croatie;GF0806;Loisirs, culture et culte n.c.a.;2005;0,045640
HRV;Croatie;GF0501;Gestion des déchets;2005;0,101770
HRV;Croatie;GF0602;Équipements collectifs;2005;0,220510
HRV;Croatie;GF0801;Services récréatifs et sportifs;2005;0,174600
HRV;Croatie;GF0704;Services de santé publique;2005;0,097830
HRV;Croatie;GF08;Loisirs, culture et cultes;2005;0,686420
HRV;Croatie;GF0702;Services ambulatoires;2005;0,511520
HRV;Croatie;GF0803;Services de radiodiffusion, de télévision et d'édition;2005;0,120780
HRV;Croatie;GF0402;Agriculture, sylviculture, pêche et chasse;2005;0,397340
HRV;Croatie;GF0305;RetD concernant l'ordre et la sécurité publics;2005;0,001190
HRV;Croatie;GF0203;Aide militaire à des pays étrangers;2005;0,000000
HRV;Croatie;GF1007;Exclusion sociale n.c.a.;2005;0,041770
HRV;Croatie;GF05;Protection de l'environnement;2005;0,276390
HRV;Croatie;GF0407;Autres branches d'activité;2005;0,155340
HRV;Croatie;GF0301;Services de police;2005;0,415860
HRV;Croatie;GF0802;Services culturels;2005;0,252020
HRV;Croatie;GF01;Services généraux des administrations publiques;2005;1,401150
HRV;Croatie;GF0504;Préservation de la diversité biologique et protection de la nature;2005;0,029100
HRV;Croatie;GF0804;Culte et autres services communautaires;2005;0,057950
HRV;Croatie;GF0606;Logement et équipements collectifs n.c.a.;2005;0,091400
HRV;Croatie;GF1001;Maladie et invalidité;2005;0,850400
HRV;Croatie;GF0409;Affaires économiques n.c.a.;2005;0,118640
HRV;Croatie;GF0901;Enseignement préélémentaire et primaire;2005;0,859430
HRV;Croatie;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2005;0,442250
HRV;Croatie;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2005;0,436050
HRV;Croatie;GF1008;RetD dans le domaine de la protection sociale;2005;0,003470
HRV;Croatie;GF0907;RetD dans le domaine de l'enseignement;2005;0,057320
HRV;Croatie;GF1004;Famille et enfants;2005;0,608620
HRV;Croatie;GF0904;Enseignement supérieur;2005;0,532410
HRV;Croatie;GF0104;Recherche fondamentale;2005;0,053440
HRV;Croatie;GF0302;Services de protection civile;2005;0,137450
HRV;Croatie;GF0908;Enseignement n.c.a.;2005;0,059380
HRV;Croatie;GF0601;Logements;2005;0,122830
HRV;Croatie;GF10;Sécurité sociale et oeuvres sociales;2005;5,063660
HRV;Croatie;GF0905;Enseignement non défini par niveau;2005;0,008880
HRV;Croatie;GF0202;Défense civile;2005;0,000020
HRV;Croatie;GF04;Affaires économiques;2005;3,057140
HRV;Croatie;GF0105;RetD concernant des services généraux des administrations publiques;2005;0,054010
HRV;Croatie;GF0706;Santé n.c.a.;2005;0,160700
HRV;Croatie;GF0906;Services annexes à l'enseignement;2005;0,094170
HRV;Croatie;GF07;Santé;2005;2,368870
HRV;Croatie;GF0603;Alimentation en eau;2005;0,166470
HRV;Croatie;GF0406;Communications;2005;0,004560
HRV;Croatie;GF0502;Gestion des eaux usées;2005;0,078840
HRV;Croatie;GF0408;RetD concernant les affaires économiques;2005;0,094930
HRV;Croatie;GF06;Logement et développement collectif;2005;0,659430
HRV;Croatie;GF0404;Industries extractives et manufacturières, construction;2005;0,058480
HRV;Croatie;GF0303;Tribunaux;2005;0,186050
HRV;Croatie;GF0503;Lutte contre la pollution;2005;0,015460
HRV;Croatie;GF0205;Défense n.c.a.;2005;0,021370
HRV;Croatie;GF03;Ordre et sécurité publics;2005;0,820460
HRV;Croatie;GF0701;Produits, appareils et matériels médicaux;2005;0,390850
HRV;Croatie;GF0106;Services généraux des administrations publiques n.c.a.;2005;0,021990
HRV;Croatie;GF1009;Protection sociale n.c.a.;2005;0,035160
HRV;Croatie;GF1002;Vieillesse;2005;2,815460
HRV;Croatie;GF1003;Survivants;2005;0,493100
HRV;Croatie;GF0102;Aide économique extérieure;2005;0,000040
HRV;Croatie;GF0506;Protection de l'environnement n.c.a.;2005;0,044780
HRV;Croatie;GF0902;Enseignement secondaire;2005;0,394790
HRV;Croatie;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2005;0,035440
HRV;Croatie;GF0204;R et D concernant la défense;2006;0,000000
HRV;Croatie;GF0108;Transferts de caractère général entre administrations publiques;2006;0,000000
HRV;Croatie;GF0703;Services hospitaliers;2006;1,297700
HRV;Croatie;GF0505;RetD dans le domaine de la protection de l'environnement;2006;0,009120
HRV;Croatie;GF0201;Défense militaire;2006;0,478200
HRV;Croatie;GF0107;Opérations concernant la dette publique;2006;0,734860
HRV;Croatie;GF0705;RetD dans le domaine de la santé;2006;0,027970
HRV;Croatie;GF02;Défense nationale;2006;0,501530
HRV;Croatie;GF0403;Combustibles et énergie;2006;0,010600
HRV;Croatie;GF1005;Chômage;2006;0,198220
HRV;Croatie;GF0405;Transports;2006;1,740270
HRV;Croatie;GF0304;Administration pénitentiaire;2006;0,054600
HRV;Croatie;GF0103;Services généraux;2006;0,155720
HRV;Croatie;GF0604;Éclairage public;2006;0,071650
HRV;Croatie;GF0306;Ordre et sécurité publics n.c.a.;2006;0,030860
HRV;Croatie;GF0903;Enseignement postsecondaire non supérieur;2006;0,000310
HRV;Croatie;GF09;Enseignement;2006;2,028950
HRV;Croatie;GF1006;Logement;2006;0,033590
HRV;Croatie;GF0605;RetD dans le domaine du logement et des équipements collectifs;2006;0,017150
HRV;Croatie;GF0806;Loisirs, culture et culte n.c.a.;2006;0,046430
HRV;Croatie;GF0501;Gestion des déchets;2006;0,101670
HRV;Croatie;GF0602;Équipements collectifs;2006;0,179730
HRV;Croatie;GF0801;Services récréatifs et sportifs;2006;0,193430
HRV;Croatie;GF0704;Services de santé publique;2006;0,097500
HRV;Croatie;GF08;Loisirs, culture et cultes;2006;0,703420
HRV;Croatie;GF0702;Services ambulatoires;2006;0,526650
HRV;Croatie;GF0803;Services de radiodiffusion, de télévision et d'édition;2006;0,120830
HRV;Croatie;GF0402;Agriculture, sylviculture, pêche et chasse;2006;0,409370
HRV;Croatie;GF0305;RetD concernant l'ordre et la sécurité publics;2006;0,001070
HRV;Croatie;GF0203;Aide militaire à des pays étrangers;2006;0,000000
HRV;Croatie;GF1007;Exclusion sociale n.c.a.;2006;0,038930
HRV;Croatie;GF05;Protection de l'environnement;2006;0,285250
HRV;Croatie;GF0407;Autres branches d'activité;2006;0,179550
HRV;Croatie;GF0301;Services de police;2006;0,467500
HRV;Croatie;GF0802;Services culturels;2006;0,264110
HRV;Croatie;GF01;Services généraux des administrations publiques;2006;1,520540
HRV;Croatie;GF0504;Préservation de la diversité biologique et protection de la nature;2006;0,036310
HRV;Croatie;GF0804;Culte et autres services communautaires;2006;0,047000
HRV;Croatie;GF0606;Logement et équipements collectifs n.c.a.;2006;0,161390
HRV;Croatie;GF1001;Maladie et invalidité;2006;0,894860
HRV;Croatie;GF0409;Affaires économiques n.c.a.;2006;0,108630
HRV;Croatie;GF0901;Enseignement préélémentaire et primaire;2006;0,868930
HRV;Croatie;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2006;0,509900
HRV;Croatie;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2006;0,446440
HRV;Croatie;GF1008;RetD dans le domaine de la protection sociale;2006;0,002810
HRV;Croatie;GF0907;RetD dans le domaine de l'enseignement;2006;0,052300
HRV;Croatie;GF1004;Famille et enfants;2006;0,634720
HRV;Croatie;GF0904;Enseignement supérieur;2006;0,540370
HRV;Croatie;GF0104;Recherche fondamentale;2006;0,048430
HRV;Croatie;GF0302;Services de protection civile;2006;0,130940
HRV;Croatie;GF0908;Enseignement n.c.a.;2006;0,061040
HRV;Croatie;GF0601;Logements;2006;0,143520
HRV;Croatie;GF10;Sécurité sociale et oeuvres sociales;2006;5,376620
HRV;Croatie;GF0905;Enseignement non défini par niveau;2006;0,008630
HRV;Croatie;GF0202;Défense civile;2006;0,000160
HRV;Croatie;GF04;Affaires économiques;2006;3,053410
HRV;Croatie;GF0105;RetD concernant des services généraux des administrations publiques;2006;0,047200
HRV;Croatie;GF0706;Santé n.c.a.;2006;0,163540
HRV;Croatie;GF0906;Services annexes à l'enseignement;2006;0,091130
HRV;Croatie;GF07;Santé;2006;2,530200
HRV;Croatie;GF0603;Alimentation en eau;2006;0,153100
HRV;Croatie;GF0406;Communications;2006;0,004540
HRV;Croatie;GF0502;Gestion des eaux usées;2006;0,091480
HRV;Croatie;GF0408;RetD concernant les affaires économiques;2006;0,087020
HRV;Croatie;GF06;Logement et développement collectif;2006;0,726540
HRV;Croatie;GF0404;Industries extractives et manufacturières, construction;2006;0,066980
HRV;Croatie;GF0303;Tribunaux;2006;0,189610
HRV;Croatie;GF0503;Lutte contre la pollution;2006;0,011850
HRV;Croatie;GF0205;Défense n.c.a.;2006;0,023170
HRV;Croatie;GF03;Ordre et sécurité publics;2006;0,874580
HRV;Croatie;GF0701;Produits, appareils et matériels médicaux;2006;0,416840
HRV;Croatie;GF0106;Services généraux des administrations publiques n.c.a.;2006;0,024190
HRV;Croatie;GF1009;Protection sociale n.c.a.;2006;0,042810
HRV;Croatie;GF1002;Vieillesse;2006;3,002250
HRV;Croatie;GF1003;Survivants;2006;0,528420
HRV;Croatie;GF0102;Aide économique extérieure;2006;0,000230
HRV;Croatie;GF0506;Protection de l'environnement n.c.a.;2006;0,034830
HRV;Croatie;GF0902;Enseignement secondaire;2006;0,406240
HRV;Croatie;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2006;0,031620
HRV;Croatie;GF0204;R et D concernant la défense;2007;0,000000
HRV;Croatie;GF0108;Transferts de caractère général entre administrations publiques;2007;0,000000
HRV;Croatie;GF0203;Aide militaire à des pays étrangers;2007;0,000000
HRV;Croatie;GF0703;Services hospitaliers;2007;1,445730
HRV;Croatie;GF0505;RetD dans le domaine de la protection de l'environnement;2007;0,009660
HRV;Croatie;GF0201;Défense militaire;2007;0,527470
HRV;Croatie;GF0107;Opérations concernant la dette publique;2007;0,802840
HRV;Croatie;GF0705;RetD dans le domaine de la santé;2007;0,031940
HRV;Croatie;GF02;Défense nationale;2007;0,556210
HRV;Croatie;GF0403;Combustibles et énergie;2007;0,010640
HRV;Croatie;GF1005;Chômage;2007;0,208760
